Date,BMA,CEPU,GGAL,LOMA,PAM,SUPV,TGS,YPF
2011-01-19,50.029998779296875,,16.520000457763672,,17.68000030517578,,5.849999904632568,51.47999954223633
2011-01-20,49.709999084472656,,16.270000457763672,,18.200000762939453,,5.980000019073486,50.900001525878906
2011-01-21,49.18000030517578,,16.15999984741211,,18.8799991607666,,5.889999866485596,51.15999984741211
2011-01-24,48.77000045776367,,16.020000457763672,,18.15999984741211,,5.849999904632568,50.75
2011-01-25,48.08000183105469,,15.859999656677246,,18.229999542236328,,5.809999942779541,50.34000015258789
2011-01-26,48.630001068115234,,16.1200008392334,,18.389999389648438,,6.03000020980835,51.0
2011-01-27,47.22999954223633,,15.970000267028809,,17.799999237060547,,6.239999771118164,50.2599983215332
2011-01-28,45.900001525878906,,15.680000305175781,,17.350000381469727,,5.960000038146973,48.720001220703125
2011-01-31,46.13999938964844,,15.649999618530273,,17.56999969482422,,6.059999942779541,50.349998474121094
2011-02-01,45.58000183105469,,15.380000114440918,,17.3700008392334,,6.059999942779541,50.25
2011-02-02,45.310001373291016,,15.760000228881836,,17.260000228881836,,6.150000095367432,50.349998474121094
2011-02-03,44.2400016784668,,16.010000228881836,,17.270000457763672,,6.190000057220459,50.400001525878906
2011-02-04,42.279998779296875,,16.0,,17.1200008392334,,6.119999885559082,50.75
2011-02-07,41.400001525878906,,15.760000228881836,,16.850000381469727,,6.039999961853027,50.720001220703125
2011-02-08,42.70000076293945,,15.930000305175781,,17.0,,5.940000057220459,50.369998931884766
2011-02-09,41.939998626708984,,15.380000114440918,,16.729999542236328,,5.960000038146973,49.70000076293945
2011-02-10,41.0099983215332,,14.5600004196167,,16.149999618530273,,5.75,48.70000076293945
2011-02-11,41.59000015258789,,14.710000038146973,,16.149999618530273,,5.690000057220459,48.79999923706055
2011-02-14,43.119998931884766,,14.90999984741211,,16.0,,5.449999809265137,48.88999938964844
2011-02-15,42.310001373291016,,14.649999618530273,,15.899999618530273,,5.510000228881836,48.7400016784668
2011-02-16,42.529998779296875,,15.010000228881836,,16.170000076293945,,5.559999942779541,48.349998474121094
2011-02-17,42.209999084472656,,14.90999984741211,,16.43000030517578,,5.699999809265137,48.599998474121094
2011-02-18,42.279998779296875,,15.270000457763672,,16.56999969482422,,5.710000038146973,49.54999923706055
2011-02-22,41.45000076293945,,14.84000015258789,,15.920000076293945,,5.5,50.45000076293945
2011-02-23,40.849998474121094,,14.010000228881836,,15.470000267028809,,5.329999923706055,50.400001525878906
2011-02-24,40.849998474121094,,13.829999923706055,,15.390000343322754,,5.210000038146973,49.77000045776367
2011-02-25,42.02000045776367,,14.390000343322754,,15.5600004196167,,5.230000019073486,50.54999923706055
2011-02-28,41.849998474121094,,14.369999885559082,,15.600000381469727,,5.309999942779541,51.650001525878906
2011-03-01,41.06999969482422,,14.210000038146973,,15.300000190734863,,5.199999809265137,51.72999954223633
2011-03-02,40.790000915527344,,13.800000190734863,,15.029999732971191,,5.230000019073486,51.959999084472656
2011-03-03,41.7599983215332,,14.319999694824219,,15.329999923706055,,5.28000020980835,51.86000061035156
2011-03-04,40.79999923706055,,14.380000114440918,,15.470000267028809,,5.28000020980835,52.31999969482422
2011-03-07,40.7400016784668,,14.180000305175781,,15.430000305175781,,5.010000228881836,52.560001373291016
2011-03-08,40.790000915527344,,14.319999694824219,,15.199999809265137,,5.039999961853027,52.599998474121094
2011-03-09,40.90999984741211,,14.079999923706055,,15.039999961853027,,5.059999942779541,52.970001220703125
2011-03-10,40.470001220703125,,13.8100004196167,,14.720000267028809,,4.789999961853027,51.93000030517578
2011-03-11,40.689998626708984,,13.850000381469727,,14.600000381469727,,4.739999771118164,51.5
2011-03-14,40.25,,13.710000038146973,,14.199999809265137,,4.599999904632568,48.29999923706055
2011-03-15,39.84000015258789,,12.979999542236328,,13.800000190734863,,4.550000190734863,47.189998626708984
